"species"	"site"	"season"	"count"
"2"	"124"	"1"	"0"
"3"	"124"	"1"	"0"
"1"	"125"	"1"	"0"
"2"	"125"	"1"	"0"
"3"	"125"	"1"	"0"
"1"	"126"	"1"	"1"
"2"	"126"	"1"	"0"
"3"	"126"	"1"	"1"
"1"	"127"	"1"	"1"
"2"	"127"	"1"	"0"
"3"	"127"	"1"	"1"
"1"	"128"	"1"	"NA"
"2"	"128"	"1"	"NA"
"3"	"128"	"1"	"NA"
"1"	"129"	"1"	"0"
"2"	"129"	"1"	"0"
"3"	"129"	"1"	"0"
"1"	"130"	"1"	"1"
"2"	"130"	"1"	"0"
"3"	"130"	"1"	"1"
"1"	"131"	"1"	"NA"
"2"	"131"	"1"	"NA"
"3"	"131"	"1"	"NA"
"1"	"132"	"1"	"1"
"2"	"132"	"1"	"0"
"3"	"132"	"1"	"1"
"1"	"133"	"1"	"0"
"2"	"133"	"1"	"0"
"3"	"133"	"1"	"0"
"1"	"134"	"1"	"0"
"2"	"134"	"1"	"0"
"3"	"134"	"1"	"0"
"1"	"135"	"1"	"1"
"2"	"135"	"1"	"1"
"3"	"135"	"1"	"1"
"1"	"136"	"1"	"1"
"2"	"136"	"1"	"0"
"3"	"136"	"1"	"1"
"1"	"137"	"1"	"0"
"2"	"137"	"1"	"0"
"3"	"137"	"1"	"0"
"1"	"138"	"1"	"1"
"2"	"138"	"1"	"0"
"3"	"138"	"1"	"1"
"1"	"139"	"1"	"1"
"2"	"139"	"1"	"0"
"3"	"139"	"1"	"1"
"1"	"140"	"1"	"1"
"2"	"140"	"1"	"0"
"3"	"140"	"1"	"1"
"1"	"141"	"1"	"1"
"2"	"141"	"1"	"0"
"3"	"141"	"1"	"1"
"1"	"142"	"1"	"0"
"2"	"142"	"1"	"0"
"3"	"142"	"1"	"0"
"1"	"143"	"1"	"1"
"2"	"143"	"1"	"0"
"3"	"143"	"1"	"1"
"1"	"144"	"1"	"1"
"2"	"144"	"1"	"0"
"3"	"144"	"1"	"1"
"1"	"145"	"1"	"1"
"2"	"145"	"1"	"0"
"3"	"145"	"1"	"1"
"1"	"146"	"1"	"0"
