Column1,sites,CRPPrp,SGPPrp,RowcropPrp,TotalEdge
349,353,0,0.026887503,0.713415071,135540
350,354,0,0.255698925,0.42344086,376410
351,355,0.4,0.046256454,0.434021801,157920
352,356,0.11,0.345605616,0.128787336,399450
353,357,0.06,0.128240011,0.409995704,358500
354,358,0.02,0.002436577,0.861831733,115620
355,359,0.39,0.004590117,0.384709173,91950
356,360,0.14,0.262309181,0.321722927,259740
357,361,0,0.547246917,0.125609406,398400
358,362,0.18,0.153250663,0.400258046,259320
359,363,0.12,0.245485813,0.370306678,338310
360,364,0.16,0.214326689,0.002437975,474720
361,365,0.26,0.376621515,0.056976994,383010
362,366,0.01,0.192952299,0.241942415,454860
363,367,0,0.031397849,0.586594982,202050
364,368,0,0.140348362,0.300982008,399690
365,369,0.02,0.530979156,0.105364945,487410
366,370,0.06,0.497133849,0.060690742,546120
367,371,0,0.526451613,0.145663082,411510
368,372,0.19,0.408999713,0.032960734,389160
369,373,0,0.636148552,0.103957557,444360
370,374,0.01,0.643702057,0.003369417,494130
371,375,0.02,0.367285499,0.305569493,441660
372,376,0.05,0.517770135,0.087990828,456780
373,377,0.12,0.293679232,0.398165401,305490
374,378,0.03,0.644509706,0.002292099,469770
375,379,0.01,0.098144566,0.571745827,228180
376,380,0.01,0.141977077,0.46525788,359160
377,381,0.04,0.18125179,0.542179891,304080
378,382,0,0.267249409,0.387189224,326250
